Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Chen, T.Y., Goldberg, B.M., Patterson, B.D., Kolemen, E., Ju, Y., Kliewer, C.J.","57202684452;56730033800;7202116371;9278048500;7202809556;36911876500;","1-D imaging of rotation-vibration non-equilibrium from pure rotational ultrafast coherent anti-Stokes Raman scattering",2020,"Optics Letters","45","15",,"4252","4255",,17,"10.1364/OL.394122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089129841&doi=10.1364%2fOL.394122&partnerID=40&md5=08b53f57821ee316848627d517aadc80",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85089129841
"Zhao, H., Zhao, N., Zhang, T., Wu, S., Ma, G., Yan, C., Ju, Y.","7404779947;38562590100;57192908858;36678507000;16833498600;57190674075;7202809556;","Studies of multi-channel spark ignition of lean n-pentane/air mixtures in a spherical chamber",2020,"Combustion and Flame","212",,,"337","344",,24,"10.1016/j.combustflame.2019.11.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075508259&doi=10.1016%2fj.combustflame.2019.11.022&partnerID=40&md5=7ea748489d4e679ef9e8e688dd7dada3",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85075508259
"Yan, C., Teng, C.C., Chen, T., Zhong, H., Rousso, A., Zhao, H., Ma, G., Wysocki, G., Ju, Y.","57190674075;57194496409;57202684452;57207717798;57194311892;7404779947;16833498600;7006273708;7202809556;","The kinetic study of excited singlet oxygen atom O(1D) reactions with acetylene",2020,"Combustion and Flame","212",,,"135","141",,11,"10.1016/j.combustflame.2019.10.034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074714929&doi=10.1016%2fj.combustflame.2019.10.034&partnerID=40&md5=9ce39b90e745fc749db7df71e7a71994",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85074714929
"Teng, C.C., Yan, C., Zhong, H., Rousso, A., Ju, Y., Wysocki, G.","57194496409;57190674075;57207717798;57194311892;7202809556;7006273708;","A comparison between laser absorption spectroscopy and Faraday rotation spectroscopy for HO2detection in a photolysis reactor",2020,"Optics InfoBase Conference Papers",,,"LTu5C.2","","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118713198&partnerID=40&md5=afeb08003374db4a9d72231adadc731f",Conference Paper,"Final","",Scopus,2-s2.0-85118713198
"Zhao, H., Liu, S., Yan, C., Ju, Y.","7404779947;57219356987;57190674075;7202809556;","Oxidation of diethyl carbonate with ozone additions at low temperatures in a jet stirred reactor",2020,"AIAA Scitech 2020 Forum","1 PartF",,,"1","4",,,"10.2514/6.2020-0180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092421284&doi=10.2514%2f6.2020-0180&partnerID=40&md5=33454d12cdaef1f9174fdb831209437f",Conference Paper,"Final","",Scopus,2-s2.0-85092421284
"Zhao, H., Zhao, N., Wu, S., Ma, G., Yan, C., Ju, Y.","7404779947;38562590100;36678507000;16833498600;57190674075;7202809556;","Experimental studies of n-pentane/air ignition by using a multi-channel spark",2020,"AIAA Scitech 2020 Forum","1 PartF",,,"","",,,"10.2514/6.2020-0429","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092410989&doi=10.2514%2f6.2020-0429&partnerID=40&md5=7a30570d7314f008cfe1d5a0a1930a52",Conference Paper,"Final","",Scopus,2-s2.0-85092410989
"Chen, T.Y., Goldberg, B.M., Rousso, A.C., Ju, Y., Kolemen, E.","57202684452;56730033800;57194311892;7202809556;9278048500;","Time-resolved measurements of electric field, electron temperature, and electron density in a nanosecond-pulsed dielectric barrier discharge",2020,"AIAA Scitech 2020 Forum","1 PartF",,,"","",,2,"10.2514/6.2020-2148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092408938&doi=10.2514%2f6.2020-2148&partnerID=40&md5=701623b66ca1a3d04c21d3b3e3f1a21d",Conference Paper,"Final","",Scopus,2-s2.0-85092408938
"Zhang, T., Ju, Y.","57192908858;7202809556;","Multiscale modeling of autoignition-assisted cool flames at high temperatures and pressures",2020,"AIAA Scitech 2020 Forum","1 PartF",,,"","",,,"10.2514/6.2020-1656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092389462&doi=10.2514%2f6.2020-1656&partnerID=40&md5=364a0008e2abeed0b6c0675fc604886e",Conference Paper,"Final","",Scopus,2-s2.0-85092389462
"Zhong, H., Shneider, M.N., Mokrov, M.S., Ju, Y.","57207717798;7006230145;12796169100;7202809556;","Numerical modeling of plasma thermal-chemical instability in h2 o2 n2 mixtures",2020,"AIAA Scitech 2020 Forum","1 PartF",,,"1","5",,,"10.2514/6.2020-1661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092376950&doi=10.2514%2f6.2020-1661&partnerID=40&md5=6a8c49de41d9cc6c3952296b62e02775",Conference Paper,"Final","",Scopus,2-s2.0-85092376950
"Mezhericher, M., Razorenov, N., Dvoskin, N., Mazor, G., Ju, Y., Stone, H.A.","22981120300;57204967976;57218829532;57201902836;7202809556;7202564376;","Liquid fuel aerosols with submicron droplets",2020,"ICLASS 2018 - 14th International Conference on Liquid Atomization and Spray Systems",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090322815&partnerID=40&md5=7a0815c66b5f9fc9490dc81aa2376bcc",Conference Paper,"Final","",Scopus,2-s2.0-85090322815
